mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,labels,file_paths
-209.60623,118.36376,-58.36378,34.222122,-34.17254,30.13499,-29.350224,1.7711997,-17.80724,-4.0259247,-6.8648396,-18.994972,-1.4859307,-17.427088,0.82125396,-10.637478,-4.4903765,-13.70373,2.421958,-6.429806,-9.601014,-3.2113714,-5.0758233,-0.5945384,-5.2002635,1.9200265,-8.022282,0.19905382,-8.075517,-0.65342516,0.0042249416,0.70867795,4.2288485,-1.9561832,1.6491036,-5.941455,1.8876855,-3.7623782,1.6943939,-0.7813049,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file9328.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-222.94785,144.04575,-41.77177,63.775352,16.064966,26.071373,-6.215043,6.2654357,-11.504268,11.781097,-4.61636,-4.3849006,13.608786,-17.654125,4.223092,-7.34428,-9.501968,-4.054213,5.630325,-5.7605352,-6.594722,-2.7372825,-9.206548,0.8620516,-2.404117,-1.8033733,-5.7486196,-0.8167909,-6.867476,-2.168341,-2.721897,-5.645362,-4.8227186,-5.2945786,-1.3860427,-7.7997375,0.09644674,-4.418435,0.83512485,-1.9433854,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file10017.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-224.6723,107.41818,-36.432293,34.55242,-31.259275,-5.6970825,-30.521679,-20.080336,-16.566154,0.85911685,-13.887898,-11.106343,-7.430268,-3.2114475,-1.0525389,-19.353329,5.881965,-12.423058,-5.3289347,-9.979896,-8.1675205,-7.728082,-11.48742,-4.009115,-11.362335,-5.2841725,-8.327213,7.9101715,5.657555,14.621076,10.560199,4.9142942,5.342375,-4.7171884,-0.8484745,-7.9308352,0.66176564,-3.0621092,0.50981003,-4.1726637,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file23340.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-171.72263,159.79756,-24.21495,38.54082,-0.4336408,11.947461,-26.588106,-9.305442,-19.918892,-8.944555,-1.4205046,-4.1291895,7.654041,0.05710688,10.733247,1.5198096,6.9566283,-2.7810473,-0.92997336,-3.4439223,-9.883496,1.8180852,0.20123704,-9.247915,-4.643209,3.786762,-5.503799,1.604174,0.76002926,3.698467,-1.4007195,-2.5184867,1.7911552,-0.3683399,2.5967627,-4.4351916,2.642446,-2.8014815,0.013266018,0.07463535,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file32131.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-239.75096,119.47776,-62.27615,11.854031,-25.193043,-11.229682,-37.27347,-17.125574,-6.7591896,0.69171023,-23.588118,-9.252427,-8.108063,-6.3499937,-3.77633,-21.75988,3.0666733,-15.321405,-6.97959,-11.019434,1.0071671,-5.6546354,-13.46417,0.7620771,-10.148596,4.7501965,3.2212887,10.449138,8.335585,9.500869,1.806392,-2.4971502,-0.909337,-3.2472563,0.47839496,-3.257428,1.9004152,-8.343581,-0.83028376,-2.564482,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file32427.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-309.2425,89.76407,-44.5729,49.620483,-35.029255,34.38838,-34.36958,6.5303926,-5.189856,5.680686,0.45905167,-1.986077,5.631999,-5.5871487,9.139023,-9.60591,8.43278,-7.827516,7.081952,-5.4379344,2.5497231,2.5828629,-3.9904776,5.617319,-7.604514,4.8173037,-6.229129,3.0619981,-4.3244834,2.356453,-2.9899797,-3.0316572,2.3772383,-5.8285,1.9859538,-5.0490417,2.2779279,-3.691626,1.5235429,-2.1551735,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file5661.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-276.68372,124.849945,5.760959,36.114624,0.94218725,35.357292,-3.0808878,2.1051083,-10.463384,4.202921,-1.0099028,-2.3873687,10.540975,-4.5259414,6.4989367,-2.6606328,4.8791223,-2.288423,3.2671824,-3.0234396,-10.057067,-3.3282785,-3.115944,6.894045,-4.812967,-4.487621,-3.9040782,-4.876968,-8.672814,-8.912219,-9.734167,-12.548777,-9.90061,-8.7008505,-4.375879,-5.2959824,-4.028046,-5.2701063,0.5994446,-3.8463795,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file3925.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-247.25313,108.85549,-23.498304,37.224083,-43.26217,-10.410083,-39.463627,-8.125125,-23.30524,-6.8263474,-24.503008,-11.593356,-5.8651648,-7.840177,-3.2643583,-26.2528,4.867931,-17.744112,0.59881234,-16.016567,-8.250726,-3.007065,-15.252665,1.3454187,-11.483986,8.574755,1.595319,7.5107126,6.3004527,6.3154054,0.35177818,-2.121194,4.1514454,-0.52945817,4.8277717,-3.0074337,4.419177,-3.112331,-2.8419785,-3.9294047,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file21711.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-170.09218,128.00993,-21.729475,50.19724,-3.2187881,16.43113,-30.062292,2.721579,-17.245098,-8.182972,6.6061964,-19.842972,-2.0900285,-3.5687175,4.41535,-13.18295,-3.148201,-4.506939,-3.9674866,-5.8070064,-7.269565,0.628494,-13.87918,-1.6705452,-5.5068035,-3.574812,-5.333767,-3.9034693,-3.0449955,-8.419912,1.42446,-4.58878,-3.4075472,-5.706465,-3.0946002,-1.5887474,-6.0513525,-3.3875902,-2.8161159,-1.9239265,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file11649.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
-236.12881,96.76493,-17.673819,56.548553,-26.674482,-7.3123603,-37.717854,-8.080495,-19.642733,0.3343327,-28.30276,-13.916494,-5.310632,-9.308753,4.6631794,-26.561005,3.3767297,-11.570273,-6.02181,-4.4239225,0.9486553,-6.2963157,-2.5690284,1.2534659,-8.70487,4.018598,-7.3454027,5.6024594,-6.4289174,4.5480804,-3.3829212,-5.4415636,0.5454973,-6.9929285,2.1594253,-9.381954,-0.2163467,-6.534031,2.0582087,1.7899098,1,/Users/mac/Desktop/DATA37000-25AU/DATA370-midterm-project/data/for-2sec/for-2seconds/training/real/file34459.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav
